CODES,DATES,CLOSE
000300.SH,2013/04/23,2449.471
000300.SH,2013/04/24,2495.579
000300.SH,2013/04/25,2467.875
000300.SH,2013/04/26,2447.306
000300.SH,2013/05/02,2449.639
000300.SH,2013/05/03,2492.912
000300.SH,2013/05/06,2525.983
000300.SH,2013/05/07,2529.938
000300.SH,2013/05/08,2542.798
000300.SH,2013/05/09,2527.794
000300.SH,2013/05/10,2540.836
000300.SH,2013/05/13,2530.768
000300.SH,2013/05/14,2493.338
000300.SH,2013/05/15,2506.925
000300.SH,2013/05/16,2552.709
000300.SH,2013/05/17,2592.048
000300.SH,2013/05/20,2609.607
000300.SH,2013/05/21,2614.853
000300.SH,2013/05/22,2618.034
000300.SH,2013/05/23,2582.849
000300.SH,2013/05/24,2597.228
000300.SH,2013/05/27,2599.587
000300.SH,2013/05/28,2644.359
000300.SH,2013/05/29,2642.561
000300.SH,2013/05/30,2634.323
000300.SH,2013/05/31,2606.426
000300.SH,2013/06/03,2602.623
000300.SH,2013/06/04,2565.666
000300.SH,2013/06/05,2560.539
000300.SH,2013/06/06,2527.845
000300.SH,2013/06/07,2484.16
000300.SH,2013/06/13,2399.937
000300.SH,2013/06/14,2416.771
000300.SH,2013/06/17,2403.839
000300.SH,2013/06/18,2418.745
000300.SH,2013/06/19,2400.765
000300.SH,2013/06/20,2321.466
000300.SH,2013/06/21,2317.394
000300.SH,2013/06/24,2171.21
000300.SH,2013/06/25,2165.421
000300.SH,2013/06/26,2168.297
000300.SH,2013/06/27,2160.735
000300.SH,2013/06/28,2200.639
000300.SH,2013/07/01,2213.317
000300.SH,2013/07/02,2221.984
000300.SH,2013/07/03,2203.828
000300.SH,2013/07/04,2221.979
000300.SH,2013/07/05,2226.849
000300.SH,2013/07/08,2163.619
000300.SH,2013/07/09,2162.669
000300.SH,2013/07/10,2224.065
000300.SH,2013/07/11,2326.688
000300.SH,2013/07/12,2275.373
000300.SH,2013/07/15,2307.297
000300.SH,2013/07/16,2317.848
000300.SH,2013/07/17,2282.836
000300.SH,2013/07/18,2245.328
000300.SH,2013/07/19,2190.478
000300.SH,2013/07/22,2202.189
000300.SH,2013/07/23,2265.845
000300.SH,2013/07/24,2249.151
000300.SH,2013/07/25,2237.683
000300.SH,2013/07/26,2224.008
000300.SH,2013/07/29,2175.97
000300.SH,2013/07/30,2189.388
000300.SH,2013/07/31,2193.021
000300.SH,2013/08/01,2245.364
000300.SH,2013/08/02,2247.263
000300.SH,2013/08/05,2278.329
000300.SH,2013/08/06,2293.641
000300.SH,2013/08/07,2280.623
000300.SH,2013/08/08,2276.782
000300.SH,2013/08/09,2286.01
000300.SH,2013/08/12,2352.794
000300.SH,2013/08/13,2359.068
000300.SH,2013/08/14,2349.08
000300.SH,2013/08/15,2321.576
000300.SH,2013/08/16,2304.144
000300.SH,2013/08/19,2331.43
000300.SH,2013/08/20,2312.465
000300.SH,2013/08/21,2308.589
000300.SH,2013/08/22,2303.932
000300.SH,2013/08/23,2286.929
000300.SH,2013/08/26,2335.616
000300.SH,2013/08/27,2340.881
000300.SH,2013/08/28,2328.056
000300.SH,2013/08/29,2318.311
000300.SH,2013/08/30,2313.91
000300.SH,2013/09/02,2320.344
000300.SH,2013/09/03,2354.502
000300.SH,2013/09/04,2350.699
000300.SH,2013/09/05,2341.735
000300.SH,2013/09/06,2357.782
000300.SH,2013/09/09,2440.609
000300.SH,2013/09/10,2474.894
000300.SH,2013/09/11,2482.889
000300.SH,2013/09/12,2507.455
000300.SH,2013/09/13,2488.902
000300.SH,2013/09/16,2478.39
000300.SH,2013/09/17,2427.322
000300.SH,2013/09/18,2432.51
000300.SH,2013/09/23,2472.288
000300.SH,2013/09/24,2443.885
000300.SH,2013/09/25,2429.03
000300.SH,2013/09/26,2384.443
000300.SH,2013/09/27,2394.971
000300.SH,2013/09/30,2409.037
000300.SH,2013/10/08,2441.811
000300.SH,2013/10/09,2453.583
000300.SH,2013/10/10,2429.317
000300.SH,2013/10/11,2468.508
000300.SH,2013/10/14,2472.542
000300.SH,2013/10/15,2467.517
000300.SH,2013/10/16,2421.371
000300.SH,2013/10/17,2413.33
000300.SH,2013/10/18,2426.054
000300.SH,2013/10/21,2471.322
000300.SH,2013/10/22,2445.891
000300.SH,2013/10/23,2418.491
000300.SH,2013/10/24,2400.511
000300.SH,2013/10/25,2368.559
000300.SH,2013/10/28,2365.954
000300.SH,2013/10/29,2372.053
000300.SH,2013/10/30,2407.471
000300.SH,2013/10/31,2373.718
000300.SH,2013/11/01,2384.96
000300.SH,2013/11/04,2380.454
000300.SH,2013/11/05,2383.769
000300.SH,2013/11/06,2353.568
000300.SH,2013/11/07,2340.552
000300.SH,2013/11/08,2307.945
000300.SH,2013/11/11,2315.889
000300.SH,2013/11/12,2340.0
000300.SH,2013/11/13,2288.116
000300.SH,2013/11/14,2304.501
000300.SH,2013/11/15,2350.734
000300.SH,2013/11/18,2428.903
000300.SH,2013/11/19,2412.163
000300.SH,2013/11/20,2424.85
000300.SH,2013/11/21,2409.989
000300.SH,2013/11/22,2397.962
000300.SH,2013/11/25,2388.629
000300.SH,2013/11/26,2387.416
000300.SH,2013/11/27,2414.481
000300.SH,2013/11/28,2439.53
000300.SH,2013/11/29,2438.944
000300.SH,2013/12/02,2418.788
000300.SH,2013/12/03,2442.784
000300.SH,2013/12/04,2475.135
000300.SH,2013/12/05,2468.197
000300.SH,2013/12/06,2452.287
000300.SH,2013/12/09,2450.872
000300.SH,2013/12/10,2453.322
000300.SH,2013/12/11,2412.763
000300.SH,2013/12/12,2410.015
000300.SH,2013/12/13,2406.639
000300.SH,2013/12/16,2367.923
000300.SH,2013/12/17,2356.376
000300.SH,2013/12/18,2357.226
000300.SH,2013/12/19,2332.41
000300.SH,2013/12/20,2278.136
000300.SH,2013/12/23,2284.602
000300.SH,2013/12/24,2288.248
000300.SH,2013/12/25,2305.11
000300.SH,2013/12/26,2265.334
000300.SH,2013/12/27,2303.478
000300.SH,2013/12/30,2299.458
000300.SH,2013/12/31,2330.026
000300.SH,2014/01/02,2321.978
000300.SH,2014/01/03,2290.779
000300.SH,2014/01/06,2238.637
000300.SH,2014/01/07,2238.001
000300.SH,2014/01/08,2241.911
000300.SH,2014/01/09,2222.221
000300.SH,2014/01/10,2204.851
000300.SH,2014/01/13,2193.679
000300.SH,2014/01/14,2212.846
000300.SH,2014/01/15,2208.941
000300.SH,2014/01/16,2211.844
000300.SH,2014/01/17,2178.488
000300.SH,2014/01/20,2165.993
000300.SH,2014/01/21,2187.41
000300.SH,2014/01/22,2243.796
000300.SH,2014/01/23,2231.889
000300.SH,2014/01/24,2245.678
000300.SH,2014/01/27,2215.919
000300.SH,2014/01/28,2219.855
000300.SH,2014/01/29,2227.781
000300.SH,2014/01/30,2202.45
000300.SH,2014/02/07,2212.483
000300.SH,2014/02/10,2267.534
000300.SH,2014/02/11,2285.562
000300.SH,2014/02/12,2291.246
000300.SH,2014/02/13,2279.554
